size,in,out
1228800,213077,202971
26214400,4186702,4106989
26214400,4136427,4106536
26214400,4136197,4106027
26214400,4136124,4105645
26214400,4138460,4105155
26214400,4139836,4105809
6553600,1044255,1033486
13107200,2075317,2057463
13107200,2075367,2057603
13107200,2075038,2057623
13107200,2075025,2057452
13107200,2076524,2057257
13107200,2075817,2059485
3276800,530194,521702
1179648,199479,192648
6553600,1043573,1032747
6553600,1044851,1033702
6553600,1044919,1033011
2359296,384831,376952
6553600,1043668,1032904
6553600,1044876,1032937
6553600,1045496,1033490
2359296,384179,376931
6553600,1044281,1032769
6553600,1044852,1033500
6553600,1044769,1032975
1638400,271804,264541
4718592,755055,746370
3276800,529613,520737
3276800,529659,520970
3276800,529126,520862
9437184,1499064,1483773
3276800,529106,520983
3276800,529463,520553
1048576,177138,170722
1048576,172527,171761
9437184,1497118,1483618
9437184,1498022,1483852
9437184,1498187,1483781
9437184,1498346,1483738
9437184,1499425,1483233
9437184,1498065,1483905
9437184,1498753,1483894
3276800,529755,521024
9437184,1498370,1484147
3276800,529365,520571
1228800,209201,202384
26214400,4134388,4105749
26214400,4136893,4105373
26214400,4137482,4105482
26214400,4136919,4105113
26214400,4137392,4105494
26214400,4137889,4105094
6553600,1042738,1032351
13107200,2075164,2057174
13107200,2074654,2057192
13107200,2074254,2056609
13107200,2074987,2056636
13107200,2075035,2057660
13107200,2075650,2056794
3276800,528645,520212
1179648,198790,192201
6553600,1043897,1032761
6553600,1044148,1033013
6553600,1043755,1033266
2359296,383984,377031
6553600,1043609,1032808
6553600,1043489,1032985
6553600,1044024,1032446
2359296,384656,376617
6553600,1043596,1032838
6553600,1043397,1033353
6553600,1044730,1032761
1638400,271025,263999
4718592,754248,745490
3276800,528885,520577
3276800,528178,520991
3276800,529416,520203
9437184,1498335,1483140
3276800,528652,520644
3276800,528802,520247
1048576,176996,170273
1048576,172121,169886
9437184,1497166,1483146
9437184,1498286,1483203
9437184,1497907,1483654
9437184,1496978,1483504
9437184,1498161,1482958
9437184,1498166,1483059
9437184,1498135,1482957
3276800,528225,520396
9437184,1497204,1483254
3276800,528799,520932
1228800,209430,202125
26214400,4135564,4105696
26214400,4135978,4105215
26214400,4138859,4106184
26214400,4138892,4106961
26214400,4137740,4106114
26214400,4137459,4105673
6553600,1042664,1032651
13107200,2076004,2062327
13107200,2081999,2064266
13107200,2087468,2067954
13107200,2087838,2063040
13107200,2090786,2068532
13107200,2084326,2064518
3276800,531949,523219
1179648,200153,193297
6553600,1046281,1036986
6553600,1048226,1034269
6553600,1048556,1035590
2359296,385965,378000
6553600,1048504,1040709
6553600,1049067,1038170
6553600,1047862,1034321
2359296,386217,379039
6553600,1046142,1035579
6553600,1045958,1033653
6553600,1046054,1033190
1638400,272049,264308
4718592,754939,745978
3276800,529130,520852
3276800,529693,520345
3276800,529945,520518
9437184,1498115,1484552
3276800,527759,520433
3276800,528444,520418
1048576,177381,170589
1048576,172181,170487
9437184,1498345,1482980
9437184,1497199,1483268
9437184,1497546,1483285
9437184,1497929,1484268
9437184,1497906,1483054
9437184,1498491,1483447
9437184,1498149,1483253
3276800,528014,520562
9437184,1498103,1483614
3276800,528045,520219
1228800,212136,201969
26214400,4135350,4106298
26214400,4137083,4105340
26214400,4142088,4105386
26214400,4136848,4105008
26214400,4136928,4105401
26214400,4136905,4105295
6553600,1042693,1032344
13107200,2074402,2056472
13107200,2075174,2068315
13107200,2073954,2056805
13107200,2074510,2056819
13107200,2074251,2056764
13107200,2075321,2056183
3276800,527331,519969
1179648,198065,192383
6553600,1042674,1032309
6553600,1044062,1032568
6553600,1044410,1032624
2359296,383746,376403
6553600,1043185,1032011
6553600,1043829,1032586
6553600,1044537,1032202
2359296,383739,376323
6553600,1043093,1032625
6553600,1044345,1032191
6553600,1043421,1032607
1638400,270275,263708
4718592,754509,745995
3276800,528190,520354
3276800,528723,519952
3276800,528117,520013
9437184,1497438,1483265
3276800,528212,520808
3276800,527940,520327
1048576,176669,170777
1048576,171412,169502
9437184,1496666,1482981
9437184,1496942,1483351
9437184,1497510,1483247
9437184,1497572,1483125
9437184,1496959,1482776
9437184,1497430,1482930
9437184,1498014,1489236
3276800,527583,520285
9437184,1497353,1483123
3276800,527472,520163
1228800,212671,201814
26214400,4134402,4105524
26214400,4135328,4105788
26214400,4136037,4105318
26214400,4136336,4105132
26214400,4138888,4104955
26214400,4137135,4106152
6553600,1043726,1032652
13107200,2074021,2056425
13107200,2075035,2056324
13107200,2075529,2056894
13107200,2073848,2056617
13107200,2075652,2056459
13107200,2073765,2056279
3276800,527805,520406
1179648,198610,192293
6553600,1043556,1031833
6553600,1043414,1032281
6553600,1043294,1032082
2359296,383829,376632
6553600,1042214,1031931
6553600,1043539,1032429
6553600,1043774,1032690
2359296,384230,376372
6553600,1043674,1031964
6553600,1043743,1032391
6553600,1043467,1032776
1638400,271189,265265
4718592,758581,746053
3276800,528070,520414
3276800,527996,520074
3276800,528001,520352
9437184,1496986,1483254
3276800,528212,520522
3276800,528352,520200
1048576,176624,171173
1048576,171807,169853
9437184,1497447,1483345
9437184,1498122,1483289
9437184,1497349,1482952
9437184,1497902,1482701
9437184,1496877,1482614
9437184,1496994,1483898
9437184,1496135,1483053
3276800,527889,520107
9437184,1496831,1483129
3276800,528109,520022
1228800,208858,208531
26214400,4136221,4105199
26214400,4136658,4105647
26214400,4136261,4105729
26214400,4136755,4105079
26214400,4138442,4105113
26214400,4137642,4104814
6553600,1043400,1032198
13107200,2074625,2056900
13107200,2074365,2056643
13107200,2075569,2056298
13107200,2074594,2056699
13107200,2075328,2056606
13107200,2074762,2056486
3276800,528547,520280
1179648,198948,193231
6553600,1044189,1032233
6553600,1043492,1032087
6553600,1049785,1039326
2359296,384071,376686
6553600,1043178,1032100
6553600,1043400,1032492
6553600,1044064,1038691
2359296,384175,376731
6553600,1049424,1032468
6553600,1044387,1032330
6553600,1043885,1032880
1638400,270949,264163
4718592,755188,746056
3276800,528305,520057
3276800,528188,520755
3276800,528380,520325
9437184,1498683,1483650
3276800,527823,521146
3276800,528020,520436
1048576,176500,170301
1048576,171513,169808
9437184,1496891,1483186
9437184,1497967,1483080
9437184,1497945,1483143
9437184,1497207,1483270
9437184,1497188,1482712
9437184,1497984,1482732
9437184,1496592,1482828
3276800,528106,520471
9437184,1497339,1482970
3276800,528459,520442
1228800,212671,202082
26214400,4134345,4105795
26214400,4135969,4106081
26214400,4136932,4104910
26214400,4137570,4104699
26214400,4136477,4105338
26214400,4136833,4104761
6553600,1043301,1033264
13107200,2074251,2056962
13107200,2074858,2057147
13107200,2074759,2057170
13107200,2074715,2056868
13107200,2074365,2056271
13107200,2074707,2056262
3276800,527859,519882
1179648,199296,192363
6553600,1044321,1032023
6553600,1043661,1032601
6553600,1043131,1032382
2359296,384107,376602
6553600,1043387,1032475
6553600,1044128,1032898
6553600,1044854,1032721
2359296,383864,376636
6553600,1043579,1032206
6553600,1043634,1032504
6553600,1044065,1032998
1638400,270396,264232
4718592,755166,746103
3276800,528224,520341
3276800,528533,520255
3276800,528067,520087
9437184,1498084,1482916
3276800,527750,520768
3276800,527765,520149
1048576,177247,171106
1048576,171594,170110
9437184,1496423,1482853
9437184,1497911,1483410
9437184,1497511,1483558
9437184,1497264,1483320
9437184,1496556,1483097
9437184,1497624,1482898
9437184,1497536,1482849
3276800,528346,520361
9437184,1497450,1483380
3276800,528389,520469
1228800,215069,202757
26214400,4136400,4105583
26214400,4136920,4105365
26214400,4138547,4104697
26214400,4137498,4104599
26214400,4138107,4104757
26214400,4137960,4104626
6553600,1042893,1032577
13107200,2084782,2056482
13107200,2074870,2056988
13107200,2075476,2056445
13107200,2074737,2056353
13107200,2074748,2056443
13107200,2075713,2056852
3276800,527849,520504
1179648,198197,192506
6553600,1043526,1032579
6553600,1042863,1032701
6553600,1043003,1032275
2359296,383781,376933
6553600,1042331,1032662
6553600,1043311,1032496
6553600,1043950,1032885
2359296,383674,376712
6553600,1043985,1032660
6553600,1044057,1032116
6553600,1043401,1032411
1638400,270249,264085
4718592,759777,751836
3276800,528217,519962
3276800,528304,519918
3276800,528771,520073
9437184,1496993,1483113
3276800,527902,519949
3276800,527947,520259
1048576,176561,170118
1048576,172108,170131
9437184,1496865,1483514
9437184,1498115,1483343
9437184,1497999,1482878
9437184,1497324,1482661
9437184,1496790,1482873
9437184,1497145,1483387
9437184,1497950,1483056
3276800,528386,520211
9437184,1497728,1483420
3276800,528686,520082
1228800,212337,202081
26214400,4135035,4105821
26214400,4135581,4105685
26214400,4137659,4105064
26214400,4136346,4105295
26214400,4154910,4113040
26214400,4171964,4116539
6553600,1051416,1038178
13107200,2082407,2064471
13107200,2080371,2061275
13107200,2084912,2062266
13107200,2085374,2065176
13107200,2085891,2064018
13107200,2081065,2062795
3276800,530611,521002
1179648,199769,193098
6553600,1044267,1033162
6553600,1043755,1032599
6553600,1045092,1032721
2359296,384068,377300
6553600,1043224,1032336
6553600,1044138,1032782
6553600,1044095,1032625
2359296,383515,382370
6553600,1042888,1032082
6553600,1043797,1032411
6553600,1043741,1032470
1638400,270078,263579
4718592,754476,745521
3276800,528208,520355
3276800,528553,520552
3276800,528246,520224
9437184,1497386,1483235
3276800,528868,520669
3276800,529339,520366
1048576,177148,170400
1048576,172143,169852
9437184,1498620,1484491
9437184,1497133,1483586
9437184,1497610,1482795
9437184,1497591,1483075
9437184,1496495,1482864
9437184,1498210,1483582
9437184,1497873,1482552
3276800,528524,520701
9437184,1496895,1483483
3276800,528308,520279
1228800,212419,202307
26214400,4183385,4106594
26214400,4186951,4105890
26214400,4136236,4105512
26214400,4135225,4105280
26214400,4137296,4105568
26214400,4136613,4105373
6553600,1042655,1032375
13107200,2074419,2056513
13107200,2073711,2056638
13107200,2075113,2056740
13107200,2074906,2068352
13107200,2075693,2056650
13107200,2075744,2056696
3276800,527846,520551
1179648,198557,192307
6553600,1043068,1033035
6553600,1044406,1039022
6553600,1043282,1032489
2359296,383467,376331
6553600,1043338,1033040
6553600,1043744,1033193
6553600,1044250,1032195
2359296,383797,376559
6553600,1043689,1032722
6553600,1043514,1032251
6553600,1043658,1032307
1638400,270974,263950
4718592,753620,745214
3276800,528573,520772
3276800,528493,520228
3276800,528339,520195
9437184,1497548,1483006
3276800,527902,520177
3276800,528418,520569
1048576,176606,170306
1048576,171506,169938
9437184,1497705,1483449
9437184,1498409,1483167
9437184,1496496,1483526
9437184,1497377,1482898
9437184,1496455,1483897
9437184,1499054,1482761
9437184,1497120,1483305
3276800,528325,519931
9437184,1497980,1483711
3276800,528663,520579
1228800,212938,202043
26214400,4136132,4106207
26214400,4135232,4105691
26214400,4137256,4105343
26214400,4137308,4105180
26214400,4136202,4105673
26214400,4137162,4105005
6553600,1042811,1032562
13107200,2074505,2057005
13107200,2074839,2056552
13107200,2074300,2056886
13107200,2074544,2056704
13107200,2076367,2057384
13107200,2074400,2056364
3276800,528710,520518
1179648,199322,192321
6553600,1043317,1032978
6553600,1043553,1032716
6553600,1044193,1032518
2359296,384092,376611
6553600,1042854,1032779
6553600,1044239,1033297
6553600,1043446,1032306
2359296,384087,376612
6553600,1043647,1032369
6553600,1049881,1038827
6553600,1043913,1032404
1638400,270557,263633
4718592,754397,745825
3276800,529043,520130
3276800,528336,519938
3276800,528411,520377
