size,in,out
1228800,220518,202906
26214400,4139421,4108968
26214400,4144593,4107403
26214400,4145041,4107920
26214400,4152053,4106329
26214400,4152088,4105308
26214400,4150164,4105953
6553600,1046465,1032885
13107200,2076944,2056928
13107200,2080513,2056957
13107200,2075704,2057970
13107200,2077697,2057541
13107200,2075114,2057456
13107200,2076623,2057503
3276800,528711,520554
1179648,199600,192836
6553600,1044192,1033018
6553600,1044689,1032751
6553600,1044351,1032623
2359296,387438,377200
6553600,1044396,1033383
6553600,1045074,1033020
6553600,1044061,1032979
2359296,386012,376967
6553600,1043490,1032801
6553600,1044746,1032927
6553600,1044142,1032969
1638400,271732,264182
4718592,755895,746066
3276800,528632,520397
3276800,529264,520849
3276800,528872,520474
9437184,1498304,1484667
3276800,528955,520780
3276800,528576,520198
1048576,177449,170551
1048576,172121,170021
9437184,1498295,1483123
9437184,1505540,1483382
9437184,1503133,1484310
9437184,1498877,1483052
9437184,1499117,1489732
9437184,1498799,1483755
9437184,1498955,1483658
3276800,528772,523946
9437184,1498326,1483349
3276800,528778,520423
