batch size,data parallel,model parallel,thread num,fifo size,End to end FPS,Hardware FPS,Total execution time(ms),Prepare input time(ms),Copyin time(ms),Execution time(ms),Copyout time(ms),Post process time(ms)
2,4,1,16,2,1851.46,4440.082,691752,1580.0238,2357.979188,5304.6864,88.1706,163.1444
2,1,1,32,2,1800.004,2307.088,711356,3140.2418,1788.037313,18466.3874,256.4344,295.034
1,4,1,16,2,1758.124,3963.07,728346.4,1681.9838,1638.407375,5896.8446,54.7878,191.9752
4,1,1,32,2,1734.432,2623.776,738976,3191.6264,1705.988375,16351.7836,299.2462,291.1022
4,4,1,16,2,1711.602,4733.214,748133.6,1689.8054,1980.888125,5075.3212,59.9784,167.546
2,8,1,16,2,1710.756,8530.696,748619.2,1563.887,3460.082875,3149.3774,89.3716,178.3524
1,8,1,16,2,1681.912,7717.758,761211.8,1644.3284,4313.498,3415.0598,48.4156,184.4636
1,1,1,32,2,1662.9675,2008.88,770801.25,3153.9415,1065.386312,21163.4675,67.935,284.03425
1,4,1,32,2,1643.042,7954.12,780435.2,3050.0844,1062.44525,5930.9234,114.6102,200.8484
4,1,1,16,2,1638.218,1879.358,781515.6,1600.3512,1163.624375,11679.195,83.0552,182.1638
2,4,1,32,2,1623.128,8885.158,789734.8,3177.252,1919.315625,5400.0762,816.0126,190.1786
8,1,1,32,2,1595.628,2872.766,803987.2,3130.7948,4780.777563,15064.7032,402.5244,318.1494
2,1,1,16,2,1572.668,1796.27,814335,1605.3652,9542.626625,12216.352,161.923,221.5882
8,1,1,16,2,1553.904,1892.376,823955.6,1639.9316,14512.764,11647.1,50.021,181.8956
2,2,1,16,2,1540.638,3338.104,830876.8,1519.11,691.7400625,6966.274,104.0412,162.7272
2,1,1,64,2,1533.61,4714.44,834634,12851.512,777.6071875,18211.052,2110.349,715.028
1,8,1,32,2,1530.442,15436.44,837310.4,3233.8224,997.262625,3490.9048,124.328,186.5132
4,2,1,16,2,1529.844,3513.81,836757.6,1705.8356,1919.770188,6665.3058,68.617,170.3632
1,1,1,16,2,1516.1725,1720.13,844427.25,1624.692,4870.536625,12750.6885,55.924,202.37425
8,1,4,16,2,1509.548,3426.16,848068,1619.57,9623.949375,6826.5568,59.9046,184.8316
4,2,2,16,2,1507.724,3411.516,849171.2,1636.033,13086.35525,6854.1666,71.9936,167.7006
4,1,4,16,2,1478.148,3205.678,866458,1599.465,682.5525,7257.6288,85.42,184.1682
8,2,2,16,2,1477.916,3680.82,866488.4,1585.0566,775.956125,6430.962,52.8688,186.8166
1,2,1,16,2,1465.32,3108.2475,873641.5,1600.669,963.643875,7462.9965,68.8645,187.405
1,16,1,16,2,1446.822,14178.18,884758,1748.798,2298.748563,2329.2814,35.3404,177.1922
1,1,1,64,2,1437.39,3802.12,890505,11251.102,5507.639125,22436.354,81.254,607.427
4,2,2,32,2,1434.592,6846.238,892492.8,3285.9974,10833.59325,6876.3374,447.288,202.4382
16,1,4,16,2,1433.302,3565.25,893159.2,1655.0766,18745.593,6637.6366,40.838,188.817
2,2,2,16,2,1431.012,3056.634,895926.4,1545.1014,703.12275,7606.342,117.5266,169.9802
2,2,1,32,2,1417.896,6690.158,903448,3079.7054,788.01455,7026.1796,380.2948,177.5208
4,4,2,16,2,1402.65,6810.23,913209,1645.9286,1224.0903,3921.1596,68.8344,185.9374
8,2,1,16,2,1400.354,3566.264,914065.4,1633.349,3315.2057,6657.2426,50.5592,181.2088
4,2,1,32,2,1399.102,7001.812,917250.8,3123.619,7279.75885,6767.4792,379.4026,198.9486
1,2,1,32,2,1395.874,6162.56,917440.6,2889.6658,14580.02905,7564.1816,95.9908,179.7616
4,4,4,16,2,1390.824,13122.4,921643,1582.425,24577.72775,2483.221,79.2018,180.0078
2,4,2,16,2,1387.096,6165.966,924804.6,1572.606,723.3293,4253.043,98.89,167.637
4,4,1,32,2,1386.638,7864.468,923932.4,3442.483,910.1119,6132.57,310.9042,184.236
8,2,4,16,2,1380.038,6547.286,929291,1643.4046,2121.79015,4058.5948,53.1998,182.2726
2,8,2,16,2,1373.28,12816.18,932274,1539.551,5180.1373,2530.6232,97.9742,175.1984
16,1,1,16,2,1371.972,1930.832,933912.2,1809.763,11114.36595,11541.6774,41.3484,189.5038
4,2,4,16,2,1361.072,6036.93,940674.2,1559.8736,21911.41987,4333.9674,75.7698,169.7148
2,2,2,32,2,1355.846,6181.854,945809.2,2831.9134,839.3079375,7574.7088,302.1616,187.7566
2,4,1,8,2,1353.74,2656.44,946627.6,1235.0512,874.053,4802.2334,75.1184,162.2232
4,1,4,32,2,1343.63,6326.162,953022.6,3296.2272,901.6540625,7430.2298,192.9682,316.331
2,8,1,32,2,1337.308,14202.52,957845.8,3680.2432,936.3423125,3841.9004,462.0686,182.049
8,1,4,32,2,1333.518,6843.944,962298,3375.3956,2146.005188,6947.762,250.6542,319.4384
4,1,2,16,2,1328.4,2813.77,963573.4,1487.4692,4438.37965,8242.2954,71.4648,180.0422
8,4,1,16,2,1325.424,4022.39,966556.8,1956.8476,2662.1695,6058.9056,60.3054,174.708
8,2,8,16,2,1323.19,12498.58,968098.6,1586.8048,658.70595,2608.9308,56.4562,182.673
4,2,4,8,2,1322.922,3010.776,968192.4,1247.9768,768.20025,4370.5966,68.0984,172.3458
8,1,8,16,2,1322.36,5859.476,969663.4,1627.0126,924.2379,4471.4618,62.827,185.3266
8,1,2,16,2,1314.114,2954.806,974085,1574.0618,1989.91435,7905.432,53.5602,188.9074
2,4,2,8,2,1313.502,3058.612,974691.8,1271.4754,4842.36895,4324.293,82.27,169.7906
2,2,1,8,2,1313.5,1758.57,975865.4,1252.6436,9470.8177,6799.2072,106.0192,166.8994
2,2,2,8,2,1311.254,1654.922,976654.2,1279.0628,13844.0935,7167.0502,124.6864,164.3932
16,1,8,16,2,1310.942,6316.106,977372.2,1561.0826,667.33095,4221.7292,47.6356,206.4672
16,1,1,32,2,1302.596,2381.388,986115.8,3386.345,795.61985,18194.0836,186.4938,330.4236
16,1,16,16,2,1298.362,12366.16,986971.8,1607.3914,919.16485,2647.4196,50.0502,196.719
1,4,1,8,2,1291.478,2528.936,991957.2,1281.8092,1982.04655,5041.6272,42.6074,223.3482
4,2,2,8,2,1291.382,1930.778,991451.4,1293.6646,4752.52955,6297.0556,63.313,171.4172
4,2,1,8,2,1288.85,1822.394,993397.6,1270.7464,9285.34925,6612.5416,66.0044,169.7306
4,1,4,8,2,1288.422,1661.074,993886.6,1290.0212,13104.7525,7162.4762,92.4214,197.1428
4,8,1,16,2,1283.906,7496.034,997333.2,2080.5448,683.2382,3729.5144,82.0664,169.8296
8,2,4,8,2,1282.09,3284.242,998999,1290.516,824.3847,4117.276,44.5888,183.9428
8,1,8,8,2,1280.084,2840.278,1000099.8,1275.5258,916.9247,4605.7436,53.8942,182.2406
2,8,1,8,2,1276.168,4413.688,1003754.8,1299.8264,2225.31275,3323.9406,65.7474,168.1484
4,2,4,32,2,1267.88,12164.78,1010317,3386.8932,5195.2156,4382.795,387.9336,204.5146
16,1,4,8,2,1265.926,1956.416,1011551.4,1311.334,10048.1699,6247.1054,40.3496,194.0744
1,8,1,8,2,1262.888,4126.564,1014452.8,1310.748,15297.444,3496.2314,35.0304,222.4294
8,1,2,8,2,1262.612,1507.518,1014060,1293.9568,712.80005,7807.09,52.557,184.1132
8,1,4,8,2,1261.992,1842.208,1015011.4,1311.8254,859.6792,6574.878,49.9802,187.845
8,2,8,8,2,1261.986,6346.28,1014586,1287.783,1441.1371,2628.9306,46.8822,176.9604
1,2,1,8,2,1258.735,1692.6125,1017498.25,1333.556,3703.7432,7067.9605,56.237,216.49175
2,4,2,32,2,1256.34,11824.64,1019458.8,3248.6598,7949.682,4484.906,535.826,206.5316
4,4,4,8,2,1252.124,6537.976,1022584,1306.4582,15443.5387,2589.077,52.2636,172.4986
2,16,1,16,2,1250.9,13593.08,1024011.8,2078.542,24399.70325,2530.8948,112.6968,161.178
2,8,2,8,2,1245.752,6601.034,1030240.8,1308.4406,646.4794,2581.7186,69.6902,170.4594
4,4,2,8,2,1244.544,3451.17,1031254.4,1273.4764,763.94365,3998.7444,54.861,174.4778
2,1,2,16,2,1242.996,2588.736,1029908,1431.4254,841.6727,8941.2856,147.4742,216.537
4,1,2,8,2,1242.626,1432.468,1030156,1312.176,898.44425,8178.8102,86.6564,193.8162
4,1,2,32,2,1241.592,5630.24,1031382,3014.2894,1380.86945,8306.914,186.5212,285.4796
2,16,1,8,2,1239.886,8354.186,1032857.4,1292.1648,2874.0513,2258.6476,65.1398,178.673
8,2,2,8,2,1239.37,2030.278,1033004,1304.5012,3432.116,6079.6304,49.1686,185.9746
16,1,2,16,2,1231.36,2991.054,1039714,1653.2966,645.38785,7887.201,45.4932,197.921
1,16,1,8,2,1229.702,7249.228,1042688,1320.0882,775.10325,2455.531,30.807,207.679
4,1,1,64,2,1228.24,5658.45,1042140,13545.717,903.90645,15519.592,655.284,801.145
16,1,16,8,2,1227.682,6013.346,1042652,1323.7094,2268.23445,2747.0794,40.8228,190.7254
16,1,8,8,2,1226.298,3137.472,1045028,1313.4006,4994.7275,4309.1764,40.152,186.199
1,4,1,64,2,1223.93,16696.6,1045810,13242.412,9196.182125,5952.189,366.124,221.797
2,1,2,32,2,1215.12,5225.032,1053524,2710.2376,9210.74925,8893.513,252.2394,274.4562
